IdTrasbordo;IdPunto;IdLineaOrigen;IdLineaDestino;PenalizacionMin
466;371;13;18;5
467;371;16;18;5
468;371;20;18;5
469;371;13;20;5
470;371;16;20;5
471;371;18;20;5
472;375;16;13;5
473;375;18;13;5
474;375;20;13;5
475;375;13;16;5
476;375;18;16;5
477;375;20;16;5
478;375;13;18;5
479;375;16;18;5
480;375;20;18;5
481;375;13;20;5
482;375;16;20;5
483;375;18;20;5
484;380;16;13;5
485;380;18;13;5
486;380;20;13;5
487;380;13;16;5
488;380;18;16;5
489;380;20;16;5
490;380;13;18;5
491;380;16;18;5
492;380;20;18;5
493;380;13;20;5
494;380;16;20;5
495;380;18;20;5
496;383;15;14;5
497;383;17;14;5
498;383;19;14;5
499;383;14;15;5
500;383;17;15;5
501;383;19;15;5
502;383;14;17;5
503;383;15;17;5
504;383;19;17;5
505;383;14;19;5
506;383;15;19;5
507;383;17;19;5
508;386;17;14;5
509;386;19;14;5
510;386;14;17;5
511;386;19;17;5
512;386;14;19;5
513;386;17;19;5
514;409;15;14;5
515;409;14;15;5
516;454;19;17;5
517;454;17;19;5
518;461;19;17;5
519;461;17;19;5
520;467;19;17;5
521;467;17;19;5
522;475;20;18;5
523;475;18;20;5
524;480;20;18;5
525;480;18;20;5
526;484;20;18;5
527;484;18;20;5
528;487;20;18;5
529;487;18;20;5
530;490;20;18;5
531;490;18;20;5
532;495;20;19;5
533;495;19;20;5
